path,city_code,rank,city_name,city_uf,population,income
dataset/google_images/class1/5215405_51_38.png,5215405,51,Ouro Verde de Goiás,GO,4060,424.16
dataset/google_images/class1/5215405_89_31.png,5215405,89,Ouro Verde de Goiás,GO,4060,424.16
dataset/google_images/class1/5215405_50_67.png,5215405,50,Ouro Verde de Goiás,GO,4060,424.16
dataset/google_images/class1/5215405_22_40.png,5215405,22,Ouro Verde de Goiás,GO,4060,424.16
dataset/google_images/class1/5215405_88_34.png,5215405,88,Ouro Verde de Goiás,GO,4060,424.16
dataset/google_images/class1/5215405_75_32.png,5215405,75,Ouro Verde de Goiás,GO,4060,424.16
dataset/google_images/class1/5215405_74_47.png,5215405,74,Ouro Verde de Goiás,GO,4060,424.16
dataset/google_images/class1/5215405_7_84.png,5215405,7,Ouro Verde de Goiás,GO,4060,424.16
dataset/google_images/class1/5215405_37_36.png,5215405,37,Ouro Verde de Goiás,GO,4060,424.16
dataset/google_images/class1/5215405_93_28.png,5215405,93,Ouro Verde de Goiás,GO,4060,424.16
dataset/google_images/class1/5215405_56_39.png,5215405,56,Ouro Verde de Goiás,GO,4060,424.16
dataset/google_images/class1/5215405_91_35.png,5215405,91,Ouro Verde de Goiás,GO,4060,424.16
dataset/google_images/class1/5215405_64_39.png,5215405,64,Ouro Verde de Goiás,GO,4060,424.16
dataset/google_images/class1/5215405_61_40.png,5215405,61,Ouro Verde de Goiás,GO,4060,424.16
dataset/google_images/class1/5215405_94_33.png,5215405,94,Ouro Verde de Goiás,GO,4060,424.16
dataset/google_images/class1/5215405_26_40.png,5215405,26,Ouro Verde de Goiás,GO,4060,424.16
dataset/google_images/class1/5215405_10_41.png,5215405,10,Ouro Verde de Goiás,GO,4060,424.16
dataset/google_images/class1/5215405_76_38.png,5215405,76,Ouro Verde de Goiás,GO,4060,424.16
dataset/google_images/class1/5215405_95_36.png,5215405,95,Ouro Verde de Goiás,GO,4060,424.16
dataset/google_images/class1/5215405_33_37.png,5215405,33,Ouro Verde de Goiás,GO,4060,424.16
